commit_id,author_id,date,loc,addition,deletion,file_num,bug_num,author_activity_in_last_four_weeks,total_commit_num,buggy_commit_num,total_bug_num,first_commit_week,active_week_num,followers,public_repos,created_at,total_commits,total_files,days_after_creation,size,stargazers_count,watchers_count,forks_count,network_count
308d5b029474c35ccc39ae764c3e8ec916baa66b,oburn,2003-04-18T08:37:34Z,251,249,2,9,1,"{'addition': 246, 'deletion': 197, 'commits': 18}",1190,22,31,2001-06-17 08:00:00,228,17,5,2013-08-06T03:36:41Z,10119,3736,2773,85058,5937,5937,7802,7802
15b4a0f888fb1d5b374fdd5ae11ec1865113c30d,lkuehne,2002-09-15T16:35:37Z,435,435,0,7,1,"{'addition': 143, 'deletion': 16, 'commits': 6}",684,13,20,2002-01-06 08:00:00,158,1,0,2013-08-04T12:17:37Z,10119,3736,2773,85058,5937,5937,7802,7802
cf85a72f3decb315c878505f474ae96b35c41431,baratali,2015-08-31T15:48:56Z,373,278,95,26,1,"{'addition': 2571, 'deletion': 2162, 'commits': 44}",138,13,17,2014-06-15 08:00:00,43,3,13,2013-01-30T20:25:54Z,10119,3736,2773,85058,5937,5937,7802,7802
5c3762cef2a69a10241801916a815f9066bca5f8,lkuehne,2003-11-08T12:29:19Z,118,104,14,3,1,"{'addition': 334, 'deletion': 83, 'commits': 15}",684,13,20,2002-01-06 08:00:00,158,1,0,2013-08-04T12:17:37Z,10119,3736,2773,85058,5937,5937,7802,7802
54ccca18635a4aeea90da86d30590df498f76b08,baratali,2015-08-18T08:24:06Z,842,421,421,118,4,"{'addition': 1810, 'deletion': 1329, 'commits': 32}",138,13,17,2014-06-15 08:00:00,43,3,13,2013-01-30T20:25:54Z,10119,3736,2773,85058,5937,5937,7802,7802
09a7ca60414ea04b64f45bb190eaa26c767086be,ychulovskyy,2014-12-27T21:49:55Z,1463,756,707,15,1,"{'addition': 964, 'deletion': 1263, 'commits': 8}",22,1,1,2014-09-07 08:00:00,12,16,31,2010-07-31T21:06:44Z,10119,3736,2773,85058,5937,5937,7802,7802
2c6e941a26d4a6b5223c0074dd3b2880591e37c2,sabaka,2015-09-01T23:08:44Z,56,51,5,2,1,"{'addition': 5542, 'deletion': 4903, 'commits': 21}",68,5,5,2015-07-19 08:00:00,21,4,15,2011-08-25T13:29:12Z,10119,3736,2773,85058,5937,5937,7802,7802
4ea84c811b7044f486971a16f4c73dd5ad4480ba,sabaka,2015-09-03T01:45:24Z,181,171,10,2,1,"{'addition': 5542, 'deletion': 4903, 'commits': 21}",68,5,5,2015-07-19 08:00:00,21,4,15,2011-08-25T13:29:12Z,10119,3736,2773,85058,5937,5937,7802,7802
c6c9ad9d33dbb2a1d060f29ade459642ef236a46,sabaka,2015-07-26T17:00:37Z,43,38,5,2,1,"{'addition': 604, 'deletion': 67, 'commits': 7}",68,5,5,2015-07-19 08:00:00,21,4,15,2011-08-25T13:29:12Z,10119,3736,2773,85058,5937,5937,7802,7802
e4282ad407f1d025c26b85c0709f2ff418b74f57,rdiachenko,2015-08-27T21:28:31Z,102,62,40,1,1,"{'addition': 2071, 'deletion': 1689, 'commits': 29}",127,9,12,2015-06-28 08:00:00,20,16,7,2011-06-25T22:10:51Z,10119,3736,2773,85058,5937,5937,7802,7802
