created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,16,13,3,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,54,39,15,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,13,8,5,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,13,2,2012-03-16T19:09:36Z,81,hneuer,1039,573,466,14,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,30,21,9,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,10,10,0,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,182,159,23,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,120,66,54,4,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,45,65,2012-01-31T01:53:11Z,109,jrenner,264,259,5,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,119,90,29,12,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,74,59,15,3,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,38,26,2013-11-10T15:10:17Z,94,johnnyapol,6,3,3,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,1800,900,900,1,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,116881,59085,57796,300,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,3,3,0,1,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,3036,838,2198,18,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,1061,1061,0,5,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,2515,2514,1,20,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,5647,5490,157,28,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,35,18,17,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,72,18,54,2,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,109,12,2011-10-01T20:36:05Z,724,MobiDevelop,78,78,0,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,571,74,2010-12-08T02:32:47Z,1956,badlogic,25,12,13,5,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,258,252,6,7,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,939,939,0,3,2
